question_text,option_a,option_b,option_c,option_d,correct_answer
"In descriptive writing, it is important to use precise:",illustrations,stories,vocabulary,paragraphs,c
The sound // can be heard in which word?,leisure,chagrin,watch,brace,c
The vowel /a:/ is found in which word?,add,calm,want,daughter,d
"Words like shapes, patterns, colours, and textures are ideal in:",Narrative writing,Descriptive writing,Argumentative writing,Causeeffect writing,b
The main idea in a paragraph is usually conveyed by the:,illustrations,topic sentence,descriptions,contrast structure,b
Illustrations in paragraphs are usually developed with interesting:,commentary details,arguments,detailed explanations,definitions,a
"When using multiple causes in a paragraph, the writer may struggle to:",list synonyms,define causes,order them logically,use transition devices,c
True or False: Transitional devices help create logical flow in paragraphs.,False,True,,,b
What is a defining relative clause?,A clause that adds optional information,A clause that begins with a relative pronoun and is essential to meaning,A rhetorical device,A sentence without a subject,b
A paragraph comparing Earth and Moon features uses:,Cause and effect structure,Illustration style,Contrast technique,Definition development,c
The falling tone in pronunciation typically starts at a _____ level.,High,Low,Syllabic,Mid,b
"Which tense is used in the sentence: ""She was singing happily""?",Past simple,Past continuous,Past perfect,Present continuous,b
The President arrives from China tomorrow uses which tense form?,Present simple,Future,Past simple,Present continuous,a
"Which vowel is in the word ""swoon""?",/o/,/ou/,/ow/,/u:/,d
Which word does NOT have a short vowel?,feet,cold,wrist,card,a
"In formal letter writing, how many main points should be discussed?",Four to five,Three only,One or two,No limit,c
Active voice is characterized by the subject:,Receiving the action,Performing the action directly,Being omitted,Following the object,b
Stress in speech refers to:,Tone only,Extra effort on a syllable,Rhythm across words,Pauses in speech,b
Formal language is typically used in:,Personal letters,Diary entries,Business and legal documents,Informal chats,c
Causeandeffect paragraphs help readers:,Understand background history only,Trace reasonresult relationships,Focus on illustration styles,Avoid definitions,b
Which transitional phrase shows addition?,However,In contrast,Furthermore,As a result,c
What is coherence?,Variety of grammar forms,Logical and smooth flow,Use of formal tone,Consistent length per paragraph,b
Which of the following is NOT commonly used in descriptive writing?,Shapes and patterns,Direction and position,Temporal issues (like time),Measurements like weight or size,c
Coherence in a paragraph is achieved through all except one of the following:,Topic sentence,Supporting details,Transitional devices,Equivalence,d
What is the central idea of a paragraph called?,Title,Theme,Tempo,Topic,b
Placing a topic sentence at the end of a paragraph allows:,Confusion,A surprise ending only,Supporting ideas to build up to the main point,Omitting coherence,c
Explaining the meaning of a concept clearly in writing is called:,Illustration,Definition,Comparison,Transition,b
Examples in paragraph development help readers:,Understand difficult ideas,Memorize words,Ignore generalizations,Write longer text,a
Descriptive writing's central goal is to:,Persuade the reader,Define concepts,Create a vivid image,List multiple causes,c
Cause-and-effect paragraphs help the reader:,Learn grammar rules,Trace reason-result connections,Avoid definitions,Shorten reading time,b
"Formal reports, business letters, and legal documents use language that is:",Informal,Semi-formal,Formal,Slang-heavy,c
The best way to become skilled at summarizing is to:,Read many books,Memorize details,Practice doing it yourself,Learn in a group only,c
Which transition word expresses contrast in writing?,Also,Next,After that,However,d
"Words like ""similarly,"" ""furthermore,"" and ""accordingly"" are examples of:",Transition devices,Comparisons,Definitions,Illustrations,a
Which item below is a formal interview request phrase?,I hope and pray,I'll be happy,I will be available for an interview at your earliest convenience.,Pls reply asap,c
"In phonology, when syllable pitch rises on the nucleus, it starts at:",High level,Low level,Mid level,Very high level,b
Which consonant sound is not present in 'yacht'?,/j/,/y/,/ouch/,/aw/,a
Which of the following is NOT a part of an effective paragraph?,Topic sentence,Transition,Summary,Equivalence,d
Comparison and contrast paragraphs often help to:,Identify grammar errors,Show unfamiliar vs. familiar,Make writing longer,Avoid transitions,b
Which phrase expresses time sequence in writing?,Accordingly,Furthermore,Subsequently,Similarly,c
"The abbreviation ""RE:"" in letters typically means:",Referral,Reply to an earlier letter,Correcting error,Reference only,b
A good topic sentence can be:,A generalization,A statement,A problem,A subject only,d
Transitional devices are used to link:,Letters and emails,Paragraph sentences logically,Words only,Reports and summaries,b
Descriptive writing must often start with:,A definition,Abstract ideas,General appearance,Cause and effect,c
A defining relative clause begins with pronouns such as:,"Which, that, who","And, but, or","Because, since","Next, first, then",a
Illustration in paragraph writing usually includes:,Personal opinion only,Many random facts,Elaborated examples with interest,No examples,c
Formal writing typically avoids using:,Idioms,Full sentences,Standard vocabulary,Clear structure,a
Words are made up of separable units referred to as ________.,Sentences,Breath groups,Syllables,Tone groups,c
Deletion is an avoidable process you must apply when: ________ a passage.,Summarizing,Listening,Interviewing,Reading aloud,a
"Apart from word stress, there is also ________ stress.",Syllable,Sentence,Final,Primary,b
Transition devices are used to link sentences in a ________.,Speech,Paragraph,Sentence,Report,b
The use of jargon should be avoided in ________ writing.,Academic,Technical,Formal,Informal,c
________ is the extra effort used in speaking or pronouncing a word.,Tone,Pitch,Stress,Intonation,c
"A longer sentence is usually divided into ________ or sense groups, also called tone groups.",Breath,Word,Phrase,Moment,a
"In a word, the part that has the stress is pronounced with greater ________.",Pitch,Force,Volume,Speed,b
Secondary stress is ________ than primary stress.,Stronger,Equal,Weaker,Longer,c
Which option correctly spells a word with two syllables similar to 'pretend' and 'pocket'?,Pocket,Pretend,Docket,All of the above,d
Active listening ability includes all but one of the following:,Concentration,A functioning eye,Money,Alexia,c
Sign language is especially useful when communicating with the ________.,Blind,Deaf and blind,Deaf alone,Lepers,c
Coherence refers to the ________ flow of ideas in a paragraph.,Disjointed,Logical and smooth,Repetitive,Random,b
Examples in paragraph development help to ________ abstract ideas.,Hide,Lengthen,Clarify,Remove,c
Beginning a paragraph with a topic sentence ________ the reader.,Confuses,Declares the main idea early,Delays clarity,Weakens coherence,b
Placing the topic sentence at the end of a paragraph allows sentences to ________ to it.,Build up,Break away,Ignore,Shorten,a
Explaining the meaning of a concept is called: ________.,Illustration,Cause and effect,Summary,Definition,d
The transition word that indicates result is ________.,However,Furthermore,Consequently,Similarly,c
Which transitional word expresses contrast?,Also,However,Moreover,Additionally,b
"Expressions like ""first, second, third"" signal ________ within sentences.",Equivalence,Chronology,Contrast,Ambiguity,b
A paragraph that explains both causes and effects follows the ________.,Comparison structure,Illustration approach,Cause-effect technique,Definition method,c
Formal letters should have language that is ________.,Colloquial,Informal,Objective and impersonal,Emotional,c
Conclusion paragraphs often include ________.,No summary,Additional examples,Transitional devices,Topic sentence repeated,d
A formal interview request is best stated as:,Hope and pray you grant me interview,I'll be there if,I will be available for an interview at your earliest convenience.,Pls reply asap,c
The language used in report writing should be:,Emotional,Objective,Slangy,Personal,b
