question_text,option_a,option_b,option_c,option_d,correct_answer
"Biotechnology involves:","Only the use of natural organisms","The use of technology in biological systems","Only genetic modification","Farming with fertilizers",b
"A major application of biotechnology is:","Burning fossil fuels","Selective breeding","Space travel","Construction",b
"The main cause of air pollution is:","Deforestation","Automobile emissions","Noise","Acid rain",b
"Which of these is a greenhouse gas?","Oxygen","Hydrogen","Carbon dioxide","Nitrogen",c
"The best method for disposing biodegradable waste is:","Burning","Burying","Recycling","Composting",d
"One way to control water pollution is:","Dumping waste in rivers","Using septic tanks","Building more roads","Using more plastics",b
"Which of the following is a cause of soil pollution?","Crop rotation","Excessive use of pesticides","Organic farming","Mulching",b
"An endangered species is one that is:","Common in many areas","Safe from extinction","At risk of extinction","Found only in zoos",c
"Which is a method of conserving wildlife?","Deforestation","Poaching","Establishing game reserves","Industrialization",c
"What is the main source of noise pollution in urban areas?","Trees","Industrial machines","Animals","Fertilizers",b
"Which organ in humans helps to regulate body temperature?","Heart","Brain","Skin","Kidney",c
"The water cycle includes the following processes except:","Evaporation","Condensation","Photosynthesis","Precipitation",c
"Which is not a component of the environment?","Climate","Soil","Culture","Water",c
"Which of these organisms is not a vertebrate?","Lizard","Fish","Snake","Earthworm",d
"In classification, the group just below kingdom is:","Phylum","Order","Genus","Class",a
"The movement of individuals into a population is called:","Emigration","Reproduction","Immigration","Migration",c
"Which structure is common to both plant and animal cells?","Cell wall","Chloroplast","Plasma membrane","Large central vacuole",c
"Which of these is an abiotic factor?","Insects","Sunlight","Trees","Bacteria",b
"What is the function of the large intestine?","Absorption of nutrients","Digestion of fats","Reabsorption of water","Production of bile",c
"The energy currency of the cell is:","DNA","ATP","RNA","Enzyme",b
"What does the term ""homeostasis"" refer to?","Growth of organisms","Maintaining internal balance","Excretion of wastes","Evolution over time",b
"In classification, which level comes directly after genus?","Class","Order","Species","Phylum",c
"Which of these helps maintain ecological balance?","Pollution","Overfishing","Conservation","Poaching",c
"Which waste disposal method contributes most to global warming?","Recycling","Incineration","Composting","Reuse",b
"The presence of harmful substances in the environment is known as:","Irrigation","Cultivation","Pollution","Rotation",c
